Latitude,Longitude,1_year average
43.5,237.75,565.685755562505
43.5,238.5,413.404066968755
43.5,239.25,684.744504625005
43.5,240,769.146260281256
43.5,240.75,790.481737250005
43.5,241.5,904.415918703132
43.5,242.25,1170.24994267188
43.5,243,1422.70372345313
43.5,243.75,1221.59718784376
43.5,244.5,844.281383187506
43.5,245.25,556.367819812505
43.5,246,538.780400625005
43.5,246.75,760.321417687505
43.5,247.5,850.217013437504
43.5,248.25,419.02919423438
43.5,249,0
43.5,249.75,0
43.5,250.5,0
43.5,251.25,243.163543562505
43.5,252,804.40785682813
43.5,252.75,535.82528914063
43.5,253.5,707.998587343755
43.5,254.25,960.606728390632
43.5,255,1102.04280137501
43.5,255.75,1113.65825667188
43.5,256.5,1153.98522332813
43.5,257.25,1284.33135950001
43.5,258,1330.12405759376
43.5,258.75,1333.62562109376
43.5,259.5,1338.30771757813
43.5,260.25,1365.27313848438
43.5,261,1389.68129906251
43.5,261.75,1414.43983793751
43.5,262.5,1352.37324860938
43.5,263.25,1288.52922301563
43.5,264,1252.62006031251
43.5,264.75,1248.34353253126
43.5,265.5,1282.72470140626
43.5,266.25,1251.07757857813
43.5,267,1218.85378920313
43.5,267.75,1219.10644292188
43.5,268.5,1249.93548493751
43.5,269.25,1280.98854492188
43.5,270,1259.94917282813
43.5,270.75,1221.93279815626
43.5,271.5,1229.78863585938
43.5,272.25,919.671391484381
43.5,273,880.024438453131
43.5,273.75,1077.26963221876
43.5,274.5,1169.57010820313
43.5,275.25,1186.94132509376
43.5,276,1243.87385225001
43.5,276.75,1141.06397428126
43.5,277.5,925.956029781257
43.5,278.25,850.263505000006
43.5,279,990.304526125006
43.5,279.75,1074.48034825001
43.5,280.5,1177.10154567188
43.5,281.25,1078.93985826563
43.5,282,1037.54746737501
43.5,282.75,1046.76342818751
43.5,283.5,1261.32280676563
43.5,284.25,1081.00546804688
42.75,230.25,1038.91816128126
42.75,231,1013.49353101563
42.75,231.75,986.597899843757
42.75,232.5,953.468494187507
42.75,233.25,894.388574453131
42.75,234,783.82413260938
42.75,234.75,664.77012895313
42.75,235.5,967.614433640632
42.75,236.25,1001.81938487501
42.75,237,892.610613531256
42.75,237.75,651.116882218755
42.75,238.5,551.16286729688
42.75,239.25,679.74234095313
42.75,240,796.187783734381
42.75,240.75,921.050038625006
42.75,241.5,1035.72683764063
42.75,242.25,1113.72735442188
42.75,243,1151.93596450001
42.75,243.75,1266.39323629688
42.75,244.5,1281.79928556251
42.75,245.25,1217.87955734376
42.75,246,1174.28142501563
42.75,246.75,1163.16322392188
42.75,247.5,941.750012250006
42.75,248.25,431.30142526563
42.75,249,0
42.75,249.75,0
42.75,250.5,0
42.75,251.25,309.95829767188
42.75,252,704.35456760938
42.75,252.75,670.76291498438
42.75,253.5,657.088688156255
42.75,254.25,778.05996689063
42.75,255,1003.41188581251
42.75,255.75,1214.05771242188
42.75,256.5,1258.27876095313
42.75,257.25,1278.37928090626
42.75,258,1254.35384793751
42.75,258.75,1247.33000806251
42.75,259.5,1278.94006298438
42.75,260.25,1340.18190875001
42.75,261,1400.29104929688
42.75,261.75,1455.81002820313
42.75,262.5,1459.68273518751
42.75,263.25,1448.85488931251
42.75,264,1424.81703464063
42.75,264.75,1390.94377943751
42.75,265.5,1389.83711450001
42.75,266.25,1367.89762167188
42.75,267,1346.67641390626
42.75,267.75,1327.55020187501
42.75,268.5,1346.58275318751
42.75,269.25,1403.74897989063
42.75,270,1392.16367795313
42.75,270.75,1381.72898639063
42.75,271.5,1374.49914235938
42.75,272.25,1031.89529739063
42.75,273,980.131312125006
42.75,273.75,1023.96216253126
42.75,274.5,1307.42414565626
42.75,275.25,1342.90936881251
42.75,276,1359.83662129688
42.75,276.75,1328.47470787501
42.75,277.5,1281.15161596876
42.75,278.25,1288.60990568751
42.75,279,1153.56039751563
42.75,279.75,1211.10795307813
42.75,280.5,1208.47000817188
42.75,281.25,1172.66297018751
42.75,282,1148.33745750001
42.75,282.75,1200.69594771876
42.75,283.5,1248.39968000001
42.75,284.25,1133.87641329688
42,230.25,1089.29543051563
42,231,1060.99557645313
42,231.75,1022.92907337501
42,232.5,966.148594281255
42,233.25,887.046083593756
42,234,800.404697156255
42,234.75,615.475114437505
42,235.5,458.615873906255
42,236.25,877.922634421881
42,237,887.87192301563
42,237.75,844.889284203131
42,238.5,829.190595750005
42,239.25,746.919172859381
42,240,788.259690593755
42,240.75,942.661067343756
42,241.5,1099.48917985938
42,242.25,1140.23199229688
42,243,1030.71746965626
42,243.75,923.99005323438
42,244.5,918.762139203131
42,245.25,1038.78165142188
42,246,1229.08024779688
42,246.75,1361.83836187501
42,247.5,1242.26355909376
42,248.25,611.749825156255
42,249,213.365020656255
42,249.75,213.04536682813
42,250.5,390.125686812505
42,251.25,499.63558467188
42,252,634.715363625005
42,252.75,530.51973982813
42,253.5,384.383348031255
42,254.25,502.558694437505
42,255,837.099503562505
42,255.75,1170.35449100001
42,256.5,1299.49546375001
42,257.25,1299.10181157813
42,258,1266.02230040626
42,258.75,1268.19201021876
42,259.5,1308.38627926563
42,260.25,1366.37899456251
42,261,1441.14716570313
42,261.75,1497.92622471876
42,262.5,1551.51876468751
42,263.25,1592.73824403126
42,264,1594.94876754688
42,264.75,1555.53448503126
42,265.5,1537.36778367188
42,266.25,1529.53710925001
42,267,1522.63862553126
42,267.75,1506.65371957813
42,268.5,1505.24972482813
42,269.25,1528.64568229688
42,270,1526.48425682813
42,270.75,1524.07188359376
42,271.5,1506.30191931251
42,272.25,1448.37589989063
42,273,1196.13550459376
42,273.75,1417.63058240626
42,274.5,1419.29487709376
42,275.25,1408.97402260938
42,276,1440.15691609376
42,276.75,1441.99251687501
42,277.5,1436.48870201563
42,278.25,1415.52906150001
42,279,1311.42126500001
42,279.75,1280.85493128126
42,280.5,1144.10548065626
42,281.25,1056.61359360938
42,282,1040.42138553126
42,282.75,1120.61586184376
42,283.5,1214.99717518751
42,284.25,1195.47632409376
41.25,230.25,1148.92159595313
41.25,231,1106.09991134376
41.25,231.75,1059.47160125001
41.25,232.5,991.958892187507
41.25,233.25,906.309818687506
41.25,234,802.82092510938
41.25,234.75,630.909866312505
41.25,235.5,494.11011579688
41.25,236.25,913.98419154688
41.25,237,1050.41608835938
41.25,237.75,1128.37359106251
41.25,238.5,1046.62611860938
41.25,239.25,818.872565078131
41.25,240,930.834460921882
41.25,240.75,1209.43940001563
41.25,241.5,1416.53861984376
41.25,242.25,1419.77449923438
41.25,243,1240.56500457813
41.25,243.75,1008.84745750001
41.25,244.5,899.328237875006
41.25,245.25,1105.72252879688
41.25,246,1558.04203714063
41.25,246.75,1771.50018203126
41.25,247.5,1480.26073401563
41.25,248.25,723.348196187505
41.25,249,153.107018250005
41.25,249.75,66.5866047031303
41.25,250.5,493.423739781255
41.25,251.25,701.252167000006
41.25,252,605.747393812505
41.25,252.75,246.342336093755
41.25,253.5,0
41.25,254.25,19.63246692188
41.25,255,759.71270264063
41.25,255.75,1185.08087404688
41.25,256.5,1352.77262440626
41.25,257.25,1395.25385992188
41.25,258,1410.32974584376
41.25,258.75,1424.50114389063
41.25,259.5,1450.59975895313
41.25,260.25,1492.68692451563
41.25,261,1556.71939850001
41.25,261.75,1618.02531446876
41.25,262.5,1685.08999768751
41.25,263.25,1749.31433026563
41.25,264,1770.68763812501
41.25,264.75,1721.85006625001
41.25,265.5,1678.82243781251
41.25,266.25,1667.28901350001
41.25,267,1674.07214039063
41.25,267.75,1681.40022915626
41.25,268.5,1690.38823717188
41.25,269.25,1692.78276703126
41.25,270,1685.94295489063
41.25,270.75,1671.27727934376
41.25,271.5,1654.99577798438
41.25,272.25,1643.20552603126
41.25,273,1553.48013326563
41.25,273.75,1570.85029996876
41.25,274.5,1545.29280981251
41.25,275.25,1530.24837739063
41.25,276,1542.93594735938
41.25,276.75,1558.49393110938
41.25,277.5,1574.01545460938
41.25,278.25,1593.19584620313
41.25,279,1468.97971779688
41.25,279.75,1360.46974395313
41.25,280.5,1255.38880796876
41.25,281.25,1190.63196270313
41.25,282,1209.35354604688
41.25,282.75,1324.58573982813
41.25,283.5,1416.06701559376
41.25,284.25,1418.44323232813
40.5,230.25,1205.40358015626
40.5,231,1160.52945953126
40.5,231.75,1104.49180801563
40.5,232.5,1044.02695834376
40.5,233.25,944.202685656257
40.5,234,821.475368218755
40.5,234.75,730.25730810938
40.5,235.5,721.591362031255
40.5,236.25,1217.69438989063
40.5,237,1526.47812982813
40.5,237.75,1690.09246232813
40.5,238.5,1384.48734376563
40.5,239.25,930.121912296882
40.5,240,1144.95225289063
40.5,240.75,1590.87725526563
40.5,241.5,1767.18460218751
40.5,242.25,1644.73848979688
40.5,243,1399.57233762501
40.5,243.75,1166.20518181251
40.5,244.5,1062.51539100001
40.5,245.25,1249.18526306251
40.5,246,1715.25569751563
40.5,246.75,1989.30890145313
40.5,247.5,1591.74159528126
40.5,248.25,762.122097281256
40.5,249,219.846643281255
40.5,249.75,333.65163370313
40.5,250.5,847.272564281255
40.5,251.25,991.398321812507
40.5,252,634.30547579688
40.5,252.75,57.1132983281301
40.5,253.5,0
40.5,254.25,0
40.5,255,789.800819593755
40.5,255.75,1397.23528215626
40.5,256.5,1459.04591739063
40.5,257.25,1504.36499479688
40.5,258,1567.09157726563
40.5,258.75,1617.56263264063
40.5,259.5,1655.50541239063
40.5,260.25,1689.78307526563
40.5,261,1728.17047473438
40.5,261.75,1774.86057896876
40.5,262.5,1828.32816900001
40.5,263.25,1873.73756707813
40.5,264,1906.92999690626
40.5,264.75,1888.87524346876
40.5,265.5,1846.89849581251
40.5,266.25,1823.64435670313
40.5,267,1845.35979410938
40.5,267.75,1890.91529417188
40.5,268.5,1903.12991093751
40.5,269.25,1859.21257235938
40.5,270,1842.36305618751
40.5,270.75,1807.23253451563
40.5,271.5,1775.52300531251
40.5,272.25,1763.67988971876
40.5,273,1746.18987407813
40.5,273.75,1691.79305000001
40.5,274.5,1650.84280818751
40.5,275.25,1632.87103198438
40.5,276,1628.44329870313
40.5,276.75,1625.96231250001
40.5,277.5,1671.28276757813
40.5,278.25,1628.48334179688
40.5,279,1576.59903092188
40.5,279.75,1507.02541139063
40.5,280.5,1408.21006356251
40.5,281.25,1384.47217996876
40.5,282,1488.70346362501
40.5,282.75,1649.30440489064
40.5,283.5,1739.33115956251
40.5,284.25,1767.34793162501
39.75,230.25,1256.40233245313
39.75,231,1216.47678046876
39.75,231.75,1158.17751329688
39.75,232.5,1088.89894846876
39.75,233.25,1006.99727664063
39.75,234,902.17870592188
39.75,234.75,788.220131656256
39.75,235.5,731.28479142188
39.75,236.25,1385.83120640626
39.75,237,1779.40103668751
39.75,237.75,2108.35749504688
39.75,238.5,1879.61534428126
39.75,239.25,1182.22763189063
39.75,240,1049.94784364063
39.75,240.75,1715.18128037501
39.75,241.5,1938.23854515626
39.75,242.25,1647.93358726563
39.75,243,1331.67041651563
39.75,243.75,1151.97527837501
39.75,244.5,1093.91831176563
39.75,245.25,1200.46206393751
39.75,246,1533.35323479688
39.75,246.75,1905.61697281251
39.75,247.5,1666.96494971876
39.75,248.25,839.165528046881
39.75,249,621.454241000005
39.75,249.75,916.910187500005
39.75,250.5,1205.21026348438
39.75,251.25,997.826926093756
39.75,252,429.01408173438
39.75,252.75,0
39.75,253.5,0
39.75,254.25,0
39.75,255,604.35531135938
39.75,255.75,1301.05064632813
39.75,256.5,1392.83776242188
39.75,257.25,1499.41887073438
39.75,258,1618.71630681251
39.75,258.75,1720.82096823438
39.75,259.5,1808.16744100001
39.75,260.25,1881.34822490626
39.75,261,1935.79562668751
39.75,261.75,1967.73668193751
39.75,262.5,1988.67182807813
39.75,263.25,2004.59221425001
39.75,264,2025.47836292188
39.75,264.75,2030.15531193751
39.75,265.5,2014.36545150001
39.75,266.25,2030.23360503126
39.75,267,2054.45157756251
39.75,267.75,2057.75357971876
39.75,268.5,2068.54708134376
39.75,269.25,2042.71635678126
39.75,270,1969.36108770313
39.75,270.75,1918.34272900001
39.75,271.5,1896.03886892188
39.75,272.25,1889.69406279688
39.75,273,1896.36032892188
39.75,273.75,1849.26184159376
39.75,274.5,1778.93588973438
39.75,275.25,1772.44363051563
39.75,276,1808.60007564063
39.75,276.75,1761.62881703126
39.75,277.5,1779.98619467188
39.75,278.25,1745.04903662501
39.75,279,1698.24375675001
39.75,279.75,1547.97195626563
39.75,280.5,1414.22372573438
39.75,281.25,1494.22114510938
39.75,282,1725.78059476563
39.75,282.75,1911.82814450001
39.75,283.5,2012.04852089063
39.75,284.25,2110.90556734376
39,230.25,1316.88216928126
39,231,1271.77416871876
39,231.75,1215.19813779688
39,232.5,1157.86403993751
39,233.25,1074.58521003126
39,234,984.889902218757
39,234.75,841.430045093756
39,235.5,780.751676765631
39,236.25,904.651426375006
39,237,1822.31711150001
39,237.75,2282.61803068751
39,238.5,2270.94501900001
39,239.25,1653.41706120313
39,240,895.800095359381
39,240.75,1350.20589007813
39,241.5,1799.25193829688
39,242.25,1560.84971754688
39,243,1251.94489835938
39,243.75,1199.88509103126
39,244.5,1242.24541064063
39,245.25,1240.64047115626
39,246,1395.30761373438
39,246.75,1780.77870646876
39,247.5,1428.64781415626
39,248.25,843.171700671881
39,249,1157.96046818751
39,249.75,1574.82293090626
39,250.5,1599.10827731251
39,251.25,1200.75264723438
39,252,493.217832156255
39,252.75,0
39,253.5,0
39,254.25,0
39,255,550.447754750005
39,255.75,1185.48100817188
39,256.5,1449.43713432813
39,257.25,1591.90677771876
39,258,1701.95304893751
39,258.75,1821.87883898438
39,259.5,1934.57918807813
39,260.25,2018.61836120313
39,261,2087.45557992188
39,261.75,2136.43520532813
39,262.5,2213.28484378126
39,263.25,2151.40876121876
39,264,2138.76631018751
39,264.75,2199.06579696876
39,265.5,2224.71257793751
39,266.25,2207.50119945313
39,267,2160.09397825001
39,267.75,2121.59457634376
39,268.5,2141.86869706251
39,269.25,2153.72717478126
39,270,2169.89630165626
39,270.75,2156.52737850001
39,271.5,2160.20747462501
39,272.25,2141.82927375001
39,273,2071.63903981251
39,273.75,2033.83213153126
39,274.5,2001.88327814063
39,275.25,1943.23522953126
39,276,1926.83095443751
39,276.75,1914.20647914063
39,277.5,1914.32981350001
39,278.25,1882.72225609376
39,279,1700.47127389063
39,279.75,1418.21587118751
39,280.5,1320.93128179688
39,281.25,1552.07232468751
39,282,1904.78682682813
39,282.75,2120.62568821876
39,283.5,2207.02859162501
39,284.25,2276.25876823438
38.25,230.25,1379.94802732813
38.25,231,1327.87500339063
38.25,231.75,1270.90758828126
38.25,232.5,1228.08421667188
38.25,233.25,1127.88738314063
38.25,234,1049.37107626563
38.25,234.75,925.280166750006
38.25,235.5,808.040436156256
38.25,236.25,820.03990057813
38.25,237,1543.23423987501
38.25,237.75,1882.69586945313
38.25,238.5,2215.74664654688
38.25,239.25,2111.23725223438
38.25,240,1068.43676317188
38.25,240.75,732.119068093755
38.25,241.5,1276.49811706251
38.25,242.25,1640.91784106251
38.25,243,1665.35551204688
38.25,243.75,1702.63455179688
38.25,244.5,1746.26502629689
38.25,245.25,1632.07384826563
38.25,246,1513.83322243751
38.25,246.75,1478.36334506251
38.25,247.5,854.102614031256
38.25,248.25,759.187996718755
38.25,249,1515.24515554688
38.25,249.75,1881.27679293751
38.25,250.5,1604.37845342188
38.25,251.25,997.697742718755
38.25,252,228.421206906255
38.25,252.75,0
38.25,253.5,0
38.25,254.25,132.85149070313
38.25,255,817.94927832813
38.25,255.75,1676.70931512501
38.25,256.5,1960.17954964063
38.25,257.25,1922.28866907813
38.25,258,1933.26175881251
38.25,258.75,1997.18790154688
